A204,Thurs 2100,204,A102,C352
A102,Fri Noon,55,A51,C148
A51,Fri 1800,1,A25,C67
A25,Sat 0900,163,A12,C41
C67,Sat 0900,165,C33,E23
C148,Fri 1800,131,C74,G38
C74,Sat 0900,91,C37,E26
G38,Sat 0900,92,G19,I22
A12,Sat 1500,24,A6,C24
A6,Sat 2100,233,A1,C8
A1,Mon 1900,44
C8,Sun 0900,212,C4
C4,Sun 1500,53,C2
C2,Sun 2100,48,C1
C1,Mon 1900,43
C24,Sat 2100,54,C12
C12,Sun 0900,213,C6
C6,Sun 1500,114,C3
C3,Sun 2100,113,C1
C41,Sat 1500,131,C20,K21
C20,Sat 2100,232,C10
C10,Sun 0900,93,C5
C5,Sun 1500,135,C2
K21,Sat 2100,116,K10
K10,Sun 0900,215,K5
K5,Sun 1500,52,K2
K2,Sun 2100,44,K1
K1,Mon 1700,132
C33,Sat 1500,73,C16
C16,Sat 2100,1,C8
C8,Sun 0900,212,C4
E23,Sat 1500,6,E11,K23
E11,Sat 2100,135,E5
E5,Sun Noon,55,E2
E2,Sun 1800,51,E1
E1,Mon 1700,42
K23,Sat 2100,93,K11
K11,Sun 0900,96,K5
C37,Sat 1500,102,C18,K19
C18,Sat 2100,7,C9
C9,Sun 0900,112,C4
K19,Sat 2100,237,K9
K9,Sun 0900,105,K4
K4,Sun 1500,42,K2
E26,Sat 1500,1,E13,K26
E13,Sat 2100,46,E6
E6,Sun Noon,56,E3
E3,Sun 1800,47,E1
K26,Sat 2100,132,K13
K13,Sun 0900,115,K6
K6,Sun 1500,47,K3
K3,Sun 2100,45,K1
G19,Sat 1500,206,G9,M19
G9,Sat 2100,8,G4
G4,Sun Noon,115,G2
G2,Sun 1800,45,G1
G1,Mon 1900,41
M19,Sat 2100,56,M9
M9,Sun 0900,55,M4
M4,Sun 1500,132,M2
M2,Sun 2100,42,M1
M1,Mon 1900,135
I22,Sat 1500,115,I11,M23
I11,Sat 2100,5,I5
I5,Sun Noon,102,I2
I2,Sun 1800,54,I1
I1,Mon 1900,133
M23,Sat 2100,96,M11
M11,Sun 0900,134,M5
M5,Sun 1500,46,M2
C352,Fri Noon,163,C176,E76
C176,Fri 1800,211,C88,G44
C88,Sat 0900,102,C44,E30
C44,Sat 1500,203,C22,K22
C22,Sat 2100,51,C11
C11,Sun 0900,113,C5
K22,Sat 2100,74,K11
E30,Sat 1500,235,E15,K30
E15,Sat 2100,112,E7
E7,Sun Noon,46,E3
K30,Sat 2100,211,K15
K15,Sun 0900,205,K7
K7,Sun 1500,43,K3
G44,Sat 0900,2,G22,I28
G22,Sat 1500,55,G11,M22
G11,Sat 2100,45,G5
G5,Sun Noon,54,G2
M22,Sat 2100,234,M11
I28,Sat 1500,201,I14,M14
I14,Sat 2100,162,I7
I7,Sun Noon,113,I3
M14,Sat 2100,236,M7
M7,Sun 1500,113,M3
M3,Sun 2100,47,M1
E76,Fri 1800,92,E38,G28
E38,Sat 0900,104,E19,I22
E19,Sat 1500,134,E9,K19
E9,Sat 2100,72,E4
E4,Sun Noon,103,E2
G28,Sat 0900,4,G14,I28
G14,Sat 1500,104,G7,M26
G7,Sat 2100,71,G3
G3,Sun 1800,53,G1
M26,Sat 2100,161,M13
M13,Sun 0900,164,M6
M6,Sun 1500,56,M3
I3,Sun 1800,56,I1
